attraction_id,name,country,province,city,price,rating,latitude,longitude,sentiment_y,popularity,normalized_popularity,sentiment_rating,popularity_rating,price_level
0,vancouver_city_sightseeing_tour,canada,british_columbia,vancouver,1,4.5,49.1978322,-123.0649959,0.4413471554668297,57,0.49393379510682217,Good,Very Popular,$
1,vancouver_to_victoria_and_butchart_gardens_tour_by_bus,canada,british_columbia,vancouver,2,5.0,49.1978322,-123.0649959,0.4103325643502209,89,0.49393379510682217,Good,Very Popular,$$
2,quebec_city_and_montmorency_falls_day_trip_from_montreal,canada,quebec,montreal,2,4.5,45.5001458,-73.5720264,0.32393798459003686,67,0.49393379510682217,OK,Very Popular,$$
3,niagara_falls_day_trip_from_toronto,canada,ontario,toronto,2,5.0,43.6561507,-79.3842642,0.36102559593796363,27,0.044655920337787966,Good,Popular,$$
4,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",canada,ontario,niagara_falls,2,5.0,43.0857136,-79.0824311,0.38997421149504485,111,0.49393379510682217,Good,Very Popular,$$
5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,canada,ontario,niagara_falls,2,5.0,43.102436,-78.961638,0.44663402711607264,367,0.49393379510682217,Good,Very Popular,$$
6,whistler_small-group_day_trip_from_vancouver,canada,british_columbia,vancouver,2,5.0,49.1978322,-123.0649959,0.3687468390133831,34,0.17045372527311756,Good,Popular,$$
7,ultimate_niagara_falls_tour_plus_helicopter_ride_and_skylon_tower_lunch,canada,ontario,niagara_falls,3,5.0,43.0857136,-79.0824311,0.3484333148663506,28,0.06262703532854934,OK,Popular,$$$
11,vancouver_seaplane_tour,canada,british_columbia,vancouver,2,5.0,48.4241277,-123.3707833,0.3157020170375434,57,0.49393379510682217,OK,Very Popular,$$
12,niagara_falls_grand_helicopter_tour,canada,ontario,niagara_falls,2,5.0,43.1888394,-79.1714688,0.3103026581002772,21,-0.06317076960678025,OK,Popular,$$
13,whistler_helicopter_tour,canada,british_columbia,whistler,2,5.0,49.1830074,-123.176599,0.41477732832643543,26,0.026684805347026597,Good,Popular,$$
